bureau,fund,personnel,external_ms,internal_ms,capital_outlay,total
Portland Police Bureau,Grants Fund,1332996,1563681,459000,0,3355677
Portland Police Bureau,Police Special Revenue Fund,0,8910000,0,0,8910000
Prosper Portland,General Fund,0,13054195,0,0,13054195
Prosper Portland,Recreational Cannabis Tax Fund,0,3120667,0,0,3120667
Special Appropriations,General Fund,227185,8009451,160820,0,8397456
Special Appropriations,Grants Fund,0,1700000,0,0,1700000
Special Appropriations,Public Election Fund,364175,1713334,57968,0,2135477
Water Bureau,Hydroelectric Power Operating Fund,532692,2552272,331593,0,3416557
Water Bureau,Hydroelectric Power Renewal Replacement Fund,0,0,0,0,0
Water Bureau,PDX Clean Energy Fund,0,1438112,0,925000,2363112
Water Bureau,Water Bond Sinking Fund,0,0,0,0,0
Water Bureau,Water Construction Fund,0,0,0,0,0
Water Bureau,Water Fund,107565369,60766195,37747554,644428000,850507118
,Total,1361214288,1568928837,448407914,1122166209,4500717248
